stock_code,con_date,con_eps_roll
600690,2016-01-05,0.8143
600690,2016-01-06,0.8146
600690,2016-01-07,0.8152
600690,2016-01-08,0.8155
600690,2016-01-11,0.8222
600690,2016-01-12,0.8226
600690,2016-01-13,0.8229
600690,2016-01-14,0.8288
600690,2016-01-15,0.8291
600690,2016-01-18,0.8285
600690,2016-01-19,0.8186
600690,2016-01-20,0.8223
600690,2016-01-21,0.8391
600690,2016-01-22,0.8413
600690,2016-01-25,0.8424
600690,2016-01-26,0.8427
600690,2016-01-27,0.8431
600690,2016-01-28,0.8424
600690,2016-01-29,0.8279
600690,2016-02-01,0.8155
600690,2016-02-02,0.8158
600690,2016-02-03,0.8162
600690,2016-02-04,0.8165
600690,2016-02-05,0.8168
600690,2016-02-15,0.9557
600690,2016-02-16,0.9103
600690,2016-02-17,0.911
600690,2016-02-18,0.93
600690,2016-02-19,0.9303
600690,2016-02-22,0.9266
600690,2016-02-23,0.9269
600690,2016-02-24,0.9272
600690,2016-02-25,0.9276
600690,2016-02-26,0.9306
600690,2016-02-29,0.9597
600690,2016-03-01,0.96
600690,2016-03-02,0.9604
600690,2016-03-03,0.9607
600690,2016-03-04,0.9611
600690,2016-03-07,0.9166
600690,2016-03-08,0.9169
600690,2016-03-09,0.9173
600690,2016-03-10,0.9176
600690,2016-03-11,0.918
600690,2016-03-14,0.919
600690,2016-03-15,0.8581
600690,2016-03-16,0.848
600690,2016-03-17,0.8483
600690,2016-03-18,0.8487
600690,2016-03-21,0.8512
600690,2016-03-22,0.8516
600690,2016-03-23,0.8519
600690,2016-03-24,0.8523
600690,2016-03-25,0.8525
600690,2016-03-28,0.8822
600690,2016-03-29,0.8859
600690,2016-03-30,0.8863
600690,2016-03-31,0.8867
600690,2016-04-01,0.8881
600690,2016-04-05,0.886
600690,2016-04-06,0.8864
600690,2016-04-07,0.8868
600690,2016-04-08,0.8872
600690,2016-04-11,0.8884
600690,2016-04-12,0.8888
600690,2016-04-13,0.8892
600690,2016-04-14,0.89
